,Fiyat,İl,İlçe,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Boya-değişen,Kimden,Sağ Arka Çamurluk,Arka Kaput,Sol Arka Çamurluk,Sağ Arka Kapı,Sağ Ön Kapı,Tavan,Sol Arka Kapı,Sol Ön Kapı,Sağ Ön Çamurluk,Motor Kaputu,Sol Ön Çamurluk,Ön Tampon,Arka Tampon,URL
10,124000,ANTALYA,SERİK,17179403,02 Haziran 2021,Fiat,Egea,1.3 Multijet Easy,2017,Dizel,Düz,1248,95,129500,1 değişen,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Değişmiş,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/ferme-otomotivden-2017-egea-1-3-multijet-easy-paket/17179403
11,36500,ANKARA,AKYURT,17516976,02 Haziran 2021,Fiat,Tempra,1.6 ie,1992,LPG & Benzin,Düz,1581,75,190000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-tempra-1-6-ie/fiat-tempra-1-6-ie-1992-model-ankara/17516976
12,108500,KOCAELİ,KÖRFEZ,16108256,02 Haziran 2021,Fiat,Egea,1.3 Multijet Easy,2017,Dizel,Düz,1248,95,210000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/ergin-otomotiv-den-2017-model-egea/16108256
13,95750,SAMSUN,İLKADIM,17607186,02 Haziran 2021,Fiat,Punto,1.3 Multijet Easy,2012,Dizel,Düz,1248,75,99700,"4 değişen, 2 boyalı",Galeriden,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Değişmiş,Değişmiş,Orijinal,Değişmiş,Değişmiş,Orijinal,Boyanmış,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-1-3-multijet-easy/samsun-park-2012-fiat-punto-1-3-m-jet-easy-100-000-km/17607186
14,123750,SAMSUN,İLKADIM,17550064,02 Haziran 2021,Fiat,Punto,1.3 Multijet Popstar,2014,Dizel,Düz,1248,75,38000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-1-3-multijet-popstar/samsun-park-2014-punto-40-000-tl-pesinat-48-ay-vade-38-000-km/17550064
15,23500,BURSA,GÜRSU,17537329,02 Haziran 2021,Fiat,Uno,60 S,1994,Benzin,Düz,1108,58,130000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-60-s/dusuk-km-temiz-hasar-kayitsiz-masrafsiz-uygun-uno-60-s/17537329
16,71000,KAYSERİ,KOCASİNAN,17615844,02 Haziran 2021,Fiat,Linea,1.3 Multijet Active,2008,Dizel,Düz,1248,90,167000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-active/colak-auto-2008-model-fiat-linea-1-3-multijet-active-167-000km/17615844
17,74500,KAYSERİ,KOCASİNAN,17615833,02 Haziran 2021,Fiat,Punto,Grande 1.3 Multijet Active,2007,Dizel,Düz,1248,75,227000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-grande-1-3-multijet-active/colak-auto-fiat-punto-2007-model-1-3multijet-active-degisensiz/17615833
18,70750,İSTANBUL,BAHÇELİEVLER,16062548,02 Haziran 2021,Fiat,Panda,1.2 Dynamic,2005,LPG & Benzin,Yarı Otomatik,1242,60,77000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-panda-1-2-dynamic/escar-otomotiv-den-cam-tavanli-77-bin-km-de-panda/16062548
19,26750,HATAY,PAYAS,17609556,01 Haziran 2021,Fiat,Uno,70 S,1995,LPG & Benzin,Düz,1372,71,180000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-70-s/fiat-uno-1-4-70-s-temiz-masrafsiz-arac/17609556
20,25950,İZMİR,GAZİEMİR,17608953,01 Haziran 2021,Fiat,Tempra,1.6 SX A,1993,LPG & Benzin,Düz,1581,90,188000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-tempra-1-6-sx-a/acil-25950tl1993-tempra-1-6-sx-a-en-dolusu-lpgli-yeni-vizeli/17608953
21,175000,BALIKESİR,BURHANİYE,17608394,01 Haziran 2021,Fiat,Egea,1.4 Fire Easy Stil,2020,Dizel,Düz,1400,100,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-4-fire-easy-stil/ergun-otomotivden-2020-0-km-egea-1-3-multijet-easy-stil/17608394
22,108500,HATAY,SAMANDAĞ,17607599,01 Haziran 2021,Fiat,Egea,1.3 Multijet Easy,2016,Dizel,Düz,1248,95,118000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/ici-disi-tertemiz-egea/17607599
23,46750,NİĞDE,MERKEZ,17494058,31 Mayıs 2021,Fiat,Palio,1.2 EL,2003,LPG & Benzin,Düz,1400,100,220000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-palio-1-2-el/2003-fiat-palio-1-2-16v-hatasiz-220-binde/17494058
24,34500,BURSA,GÜRSU,17262862,31 Mayıs 2021,Fiat,Tempra,1.6 SW AK,1996,LPG & Benzin,Düz,1581,75,220000,3 boyalı,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-tempra-1-6-sw-ak/4-cam-otomatik-hidrolik-klimali-kazasiz-degisensiz-temiz-hasar-kayitsiz-uygun-tempra/17262862
25,112500,İZMİR,GAZİEMİR,17536823,31 Mayıs 2021,Fiat,Egea,1.3 Multijet Easy,2016,Dizel,Düz,1248,95,119500,"1 değişen, 4 boyalı",Galeriden,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Değişmiş,Boyanmış,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/2016-model-fiat-egea-1-3-m-jet-easy-48-ay-vadeli/17536823
26,89750,İSTANBUL,GAZİOSMANPAŞA,17490507,31 Mayıs 2021,Fiat,Linea,1.3 Multijet Pop,2015,Dizel,Düz,1400,100,108500,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-pop/2015-model-1-3-m-jet-pop-108-bin-km-yeni-muayne/17490507
27,99500,BURSA,İNEGÖL,17549253,31 Mayıs 2021,Fiat,Punto,1.3 Multijet Pop,2014,Dizel,Düz,1248,75,112000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-1-3-multijet-pop/2014-punto-pop-1-3-m-jet-112-000-km/17549253
28,37000,MANİSA,AKHİSAR,17355705,31 Mayıs 2021,Fiat,Uno,70 SX,1997,LPG & Benzin,Düz,1372,71,169000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-70-sx/bayar-otomotiv-de-fiat-uno-70-sx-lpg-li-isli-hatasiz/17355705
29,78000,BURSA,OSMANGAZİ,15418163,31 Mayıs 2021,Fiat,Panda,1.2 Dynamic,2005,Benzin,Yarı Otomatik,1242,60,93000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-panda-1-2-dynamic/2005-fiat-panda-otomatik-vites/15418163
30,78000,BURSA,OSMANGAZİ,15207807,31 Mayıs 2021,Fiat,Panda,1.2 Dynamic,2007,Benzin,Yarı Otomatik,1242,60,147000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-panda-1-2-dynamic/2007-panda-otomatik/15207807
31,33000,NİĞDE,BOR,17603635,31 Mayıs 2021,Fiat,Uno,70 S,1999,LPG & Benzin,Düz,1372,71,203000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-70-s/galeriden-fiat-uno-70-s-1999-model-nigde/17603635
32,105000,BURSA,GÜRSU,17281190,31 Mayıs 2021,Fiat,Punto,1.4 Urban S&S,2014,LPG & Benzin,Düz,1368,77,128000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-1-4-urban-s-s/hatasiz-boyasiz-tramersiz-nokta-hatasiz-en-full-paket-urban-punto-1-4/17281190
33,55500,İSTANBUL,ESENLER,17201654,31 Mayıs 2021,Fiat,Albea,Sole 1.3 Multijet Premio Plus,2011,Dizel,Düz,1248,70,250000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-albea-sole-1-3-multijet-premio-plus/senetle-satisimiz-vardir-2011-fiat-albea-extrali-klimali/17201654
34,88000,ERZURUM,YAKUTİYE,16248646,31 Mayıs 2021,Fiat,Linea,1.3 Multijet Active Plus,2012,Dizel,Düz,1248,95,188000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-active-plus/2012-linea-active-plus-dizel-boyasiz-degisensiz-95-hp/16248646
35,103000,HATAY,ANTAKYA,17601576,31 Mayıs 2021,Fiat,Linea,1.3 Multijet Pop,2016,Dizel,Düz,1248,95,166000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-pop/darbe-degisen-boya-hasar-kaydi-yok-orijinal/17601576
36,32500,YOZGAT,MERKEZ,15927788,30 Mayıs 2021,Fiat,Uno,70 S,1996,LPG & Benzin,Düz,1372,71,246000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-70-s/galeriden-fiat-uno-70-s-1996-model-yozgat/15927788
37,74500,MANİSA,ŞEHZADELER,17447908,29 Mayıs 2021,Fiat,Punto,Grande 1.3 Multijet Active,2010,Dizel,Düz,1248,90,347000,7 boyalı,Galeriden,Boyanmış,Boyanmış,Boyanmış,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Lokal Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-grande-1-3-multijet-active/2010-model-fiat-punto-degisensiz-90hp/17447908
38,122000,İSTANBUL,BAĞCILAR,17505893,29 Mayıs 2021,Fiat,Egea,1.3 Multijet Easy,2017,Dizel,Düz,1248,95,106000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/tamamina-yakin-kredi-cikmakta/17505893
39,107000,ANTALYA,MURATPAŞA,15275138,29 Mayıs 2021,Fiat,Linea,1.3 Multijet Pop,2017,Dizel,Düz,1248,95,108000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-pop/kirbaslar-dan-linea-1-3-m-jet-pop-2017-model-beyaz-orjinal/15275138
40,87500,KARABÜK,MERKEZ,17586501,29 Mayıs 2021,Fiat,Albea,Sole 1.3 Multijet Premio Plus,2012,Dizel,Düz,1248,70,160000,Belirtilmemiş,Galeriden,Lokal Boyanmış,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-albea-sole-1-3-multijet-premio-plus/tutkun-dogan-2012-sole-premio-1-3-multijet-albea-hatasiz/17586501
41,30000,ADANA,SEYHAN,17585001,28 Mayıs 2021,Fiat,Uno,70 S,1996,LPG & Benzin,Düz,1372,71,157000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-70-s/1996-model-uno-1-4-s/17585001
42,71000,İSTANBUL,BEYLİKDÜZÜ,17582567,28 Mayıs 2021,Fiat,Punto,EVO 1.3 Multijet Dynamic,2011,Dizel,Düz,1248,75,252000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-evo-1-3-multijet-dynamic/2011-dizel-1-3-m-jet-bakimli/17582567
43,126500,KARABÜK,MERKEZ,14629554,28 Mayıs 2021,Fiat,Egea,1.3 Multijet Easy,2016,Dizel,Düz,1248,95,115000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/1-3-dizel-multijet-hatasiz-boyasiz-hasar-kayitsiz/14629554
44,33750,BURSA,GÜRSU,17517151,28 Mayıs 2021,Fiat,Uno,1.4 ie SX,1998,LPG & Benzin,Düz,1372,71,203000,10 boyalı,Galeriden,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-1-4-ie-sx/akhisar-ahmet-bey-e-opsiyonlammistir/17517151
45,46900,BALIKESİR,KARESİ,16934580,28 Mayıs 2021,Fiat,Siena,1.4 EL,1999,LPG & Benzin,Düz,1372,71,161000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-siena-1-4-el/hanedan-otomotivden-lgli-fiat-siena-1-4-el/16934580
46,86750,İSTANBUL,MALTEPE,17128094,27 Mayıs 2021,Fiat,Linea,1.3 Multijet Pop,2014,Dizel,Düz,1400,100,164100,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-pop/2014-yeni-linea-1-3mjet-gsrli-a-z-ye-bakimli-temiz-masrafsiz/17128094
47,73500,MALATYA,YEŞİLYURT,17494596,27 Mayıs 2021,Fiat,Linea,1.3 Multijet Active Plus,2012,Dizel,Düz,1248,90,225500,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-active-plus/otoshops-valiant-dan-2012-linea-1-3-multijet-active-plus/17494596
48,45750,İZMİR,ALİAĞA,17567527,26 Mayıs 2021,Fiat,Palio,1.6 HL,1998,LPG & Benzin,Düz,1581,100,225000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-palio-1-6-hl/cobanli-otomotiv-den-orjinal-1-6-16walf-klimali-fiat-palio/17567527
49,190000,İSTANBUL,ATAŞEHİR,17226417,26 Mayıs 2021,Fiat,Egea,1.6 Multijet Urban Plus,2016,Dizel,Yarı Otomatik,1598,120,32000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-6-multijet-urban-plus/egea-sw-1-6-m-jet-120-hp-dizel-otomatik-boyasiz-32-000-km/17226417
50,86750,ADANA,SEYHAN,17557701,24 Mayıs 2021,Fiat,Linea,1.3 Multijet Pop,2013,Dizel,Düz,1248,95,188000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-pop/bizim-oto-dan-2013-linea-1-3-m-jet-pop-yeni-kasa-yeni-motor/17557701
51,28750,MERSİN,ERDEMLİ,17539364,21 Mayıs 2021,Fiat,Uno,1.4 ie S,1995,LPG & Benzin,Düz,1372,71,226000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-1-4-ie-s/galeriden-fiat-uno-1-4-ie-s-1995-model-mersin/17539364
52,137750,BALIKESİR,KARESİ,17200741,19 Mayıs 2021,Fiat,Egea,1.3 Multijet Easy,2018,Dizel,Düz,1248,95,89000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-3-multijet-easy/2018-egea-easy-dizel-hatasiz-boyasiz-89-bin-km/17200741
53,162500,ORDU,FATSA,17327798,11 Mayıs 2021,Fiat,Egea,1.6 Multijet Urban,2017,Dizel,Yarı Otomatik,1598,120,105000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-6-multijet-urban/2017-model-ful-ful-hatasiz-boyasiz-dizel-otomatik-1-6-urban-egea/17327798
54,93750,İSTANBUL,PENDİK,16376341,11 Mayıs 2021,Fiat,Bravo,1.4 Active Plus,2011,LPG & Benzin,Düz,1368,90,144000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-bravo-1-4-active-plus/2011-fiat-bravo-1-16v-aktiv-plus-144000-km-benzin-lpg-y-muayne/16376341
