,Fiyat,İl,İlçe,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Boya-değişen,Kimden,Sağ Arka Çamurluk,Arka Kaput,Sol Arka Çamurluk,Sağ Arka Kapı,Sağ Ön Kapı,Tavan,Sol Arka Kapı,Sol Ön Kapı,Sağ Ön Çamurluk,Motor Kaputu,Sol Ön Çamurluk,Ön Tampon,Arka Tampon,URL
10,442000,İSTANBUL,SANCAKTEPE,17491045,10 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/0km-2020-superb-1-6-tdi-prestige-led-camtavan-elektbagaj-hayalet/17491045
11,438000,ANKARA,ÇANKAYA,17530792,20 Mayıs 2021,Skoda,SuperB,1.5 TSI GreenTec Premium,2020,Benzin,Yarı Otomatik,1498,150,19000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-premium/and-skoda-dan-2020-superb-1-5-tsi-premium-dsg-cam-tavan-orj-km/17530792
12,428800,BALIKESİR,ALTIEYLÜL,15442830,02 Haziran 2021,Skoda,SuperB,1.5 TSI GreenTec Prestige,2020,Benzin,Yarı Otomatik,1600,150,20,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-prestige/balikesir-atmaca-otomotiv-den-sifir-km-super-b-1-5-tsi-prestige/15442830
13,428800,SAMSUN,ATAKUM,16002279,25 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2019,Dizel,Yarı Otomatik,1598,120,39000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/new-auto-hatasiz-skoda-superb-1-6-tdi-greentech-prestige-dsg/16002279
14,428000,İSTANBUL,BAĞCILAR,17530086,20 Mayıs 2021,Skoda,SuperB,1.5 TSI GreenTec Prestige,2020,Benzin,Otomatik,1600,150,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-prestige/2020-model-garantili-0-km-skoda-superb-1-5tsi-prestige/17530086
15,428000,İSTANBUL,BAĞCILAR,17521426,18 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,5470,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/2020-skoda-superb-pristige-paket-5-470-km-hatasiz-boyasiz/17521426
16,425000,KOCAELİ,GEBZE,17568863,26 Mayıs 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,10,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/18-kdv-yeni-direksiyon-dvd-cam-tavan-applecar-keylesgo-geri-grs/17568863
17,425000,BURSA,NİLÜFER,17568614,26 Mayıs 2021,Skoda,SuperB,1.5 TSI GreenTec Prestige,2020,Benzin,Otomatik,1600,150,18000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-prestige/simsek-motors-2020-model-superb-sifirdan-farksiz/17568614
18,422000,KONYA,KARATAY,17401949,21 Nisan 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,19400,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/konya-has-otomotiv-cam-tavan-led-xenon-hafiza-tablet-ekran/17401949
19,419900,İSTANBUL,BAĞCILAR,17496063,12 Mayıs 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/2020-skoda-superb-1-6-tdi-dsg-premium-0-km-cam-tavan-direksiyn/17496063
20,415500,TRABZON,AKÇAABAT,15552774,01 Haziran 2021,Skoda,SuperB,1.6 TDI Prestige,2019,Dizel,Yarı Otomatik,1600,125,23500,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/2019-skoda-superb-prestige-cam-tavan-led-isitma-keyless-hatasiz/15552774
21,415000,KONYA,KARATAY,17586846,29 Mayıs 2021,Skoda,SuperB,2.0 TDI Prestige,2017,Dizel,Yarı Otomatik,2000,200,121000,2 boyalı,Galeriden,Boyanmış,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-2-0-tdi-prestige/konya-has-otomotiv-2-0-tdi-prestige-190-hp-ilk-el-cam-tavan/17586846
22,415000,ANKARA,ÇANKAYA,17521246,18 Mayıs 2021,Skoda,Octavia,1.5 TSI Premium,2020,Hibrit,Yarı Otomatik,1498,150,4000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-5-tsi-premium/and-skoda-dan-2020-octavia-1-5-tsi-e-tec-premium-4000km-ekstrali/17521246
23,410000,KAHRAMANMARAŞ,DULKADİROĞLU,16308963,31 Mayıs 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/2020-skoda-superb-1-6-tdi-dsg-120-hp-premium-cam-tavan-led-0-km/16308963
24,410000,ELAZIĞ,MERKEZ,15700369,26 Nisan 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,1300,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/2020-model-sifir-arac/15700369
25,409000,İSTANBUL,BAĞCILAR,17228112,25 Mayıs 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/0-km-yuceler-otomotivden-skoda-super-b-premium-18-kdv/17228112
26,404000,AFYONKARAHİSAR,MERKEZ,17494753,03 Haziran 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1600,125,3999,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/2020-camtavan-4binkm-hatasiz-bayicikisli-full/17494753
27,403000,İSTANBUL,ÜSKÜDAR,17584616,28 Mayıs 2021,Skoda,SuperB,1.5 TSI GreenTec Prestige,2020,Benzin,Otomatik,1600,150,18000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-prestige/hyundai-ucardan-2020-superb-1-5-prestige-otm-18000-km-hatsiz/17584616
28,402500,İSTANBUL,KADIKÖY,17586936,29 Mayıs 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,50,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/yeni-2020-superb-1-6-tdi-dsg-premiumg-goruscarplaystartstop/17586936
29,400500,ANKARA,AKYURT,17546252,22 Mayıs 2021,Skoda,SuperB,1.5 TSI GreenTec Prestige,2020,Benzin,Otomatik,1600,150,19500,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-prestige/2020-boyasiz-superb-hafiza-isitma-yeni-direksyn-elkbagaj-hayalet/17546252
30,400000,İSTANBUL,SİLİVRİ,17452979,30 Nisan 2021,Skoda,SuperB,1.5 TSI GreenTec Prestige,2020,Benzin,Otomatik,1600,150,11750,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-prestige/superb-ic-siyah-4-koltuk-isitma-hayalet-elk-bagaj-carp/17452979
31,399999,GAZİANTEP,NİZİP,17040357,26 Nisan 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,3650,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/galeriden-skoda-superb-1-6-tdi-premium-2020-model-gaziantep/17040357
32,399900,İSTANBUL,BAĞCILAR,17496062,12 Mayıs 2021,Skoda,SuperB,1.6 TDI Elite,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-elite/2020-skoda-superb-1-6-tdi-dsg-elite-0-km-cam-tavan-direksiyon/17496062
33,394800,BALIKESİR,ALTIEYLÜL,17442281,28 Nisan 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,9900,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/balikesir-atmaca-otomotiv-den-hatasiz-super-b-1-6-tdi/17442281
34,391750,KIRKLARELİ,LÜLEBURGAZ,17273515,01 Haziran 2021,Skoda,SuperB,1.6 TDI Elite,2020,Dizel,Yarı Otomatik,1598,120,2,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-elite/skoda-superb-1-6tdi-2020-yeni-sifir-haciogullari-oto-luleburgaz/17273515
35,391500,BURSA,İNEGÖL,17537286,21 Mayıs 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,15000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/ankara-ya-omer-bey-e-opsiynludur/17537286
36,391000,İZMİR,GAZİEMİR,17471467,26 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2018,Dizel,Yarı Otomatik,1598,120,31000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/boyasiz-31-000-km-2018-superb-cam-tavan-k-isitma-e-bagaj/17471467
37,389000,GİRESUN,MERKEZ,17437274,27 Nisan 2021,Skoda,SuperB,1.5 TSI GreenTec Prestige,2020,Benzin,Otomatik,1600,150,4000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-prestige/2020-boyasiz-superb-hafiza-isitma-ggrs-elkbagaj-hayalet-camtvn/17437274
38,388900,İSTANBUL,BÜYÜKÇEKMECE,17184206,18 Mayıs 2021,Skoda,SuperB,1.6 TDI Elite,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-elite/0-km-2020-dizel-cam-tavan-yeni-tip-direksiyon-elektrikli-bagaj/17184206
39,388000,TRABZON,AKÇAABAT,17253395,31 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2019,Dizel,Yarı Otomatik,1600,125,62000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/auto-garden-den-hatasiz-boyasiz-cam-tavan-hayalet-ekran/17253395
40,388000,KAHRAMANMARAŞ,DULKADİROĞLU,15895678,04 Mayıs 2021,Skoda,SuperB,1.6 TDI Elite,2020,Dizel,Yarı Otomatik,1598,120,10,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-elite/toyota-plaza-toymar-dan-skoda-super-b-1-6-tdi-elite-dsg/15895678
41,380000,HATAY,SAMANDAĞ,16431274,20 Mayıs 2021,Skoda,SuperB,1.6 TDI Style,2019,Dizel,Yarı Otomatik,1598,120,61000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-style/2019-skoda-superb-1-6-tdi-style/16431274
42,379500,MERSİN,MEZİTLİ,17610148,01 Haziran 2021,Skoda,SuperB,1.5 TSI GreenTec Premium,2020,Benzin,Yarı Otomatik,1600,150,7000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-premium/elsa-grup-auto-dan-2020-super-b-cam-tavan-dsg-premium-18-kdv/17610148
43,376000,HATAY,DEFNE,16019426,06 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2019,Dizel,Yarı Otomatik,1600,125,63000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/hatasiz-boyasiz-cam-tavan-hayalet-ekran-g-gorus/16019426
44,375000,İSTANBUL,ZEYTİNBURNU,15507344,07 Nisan 2021,Skoda,SuperB,1.6 TDI Prestige,2018,Dizel,Yarı Otomatik,1598,120,42000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/emsalsiz-temizlikte-hatasiz-genis-aile-ve-makam-araci-mizan-34/15507344
45,373750,ANTALYA,SERİK,17560978,25 Mayıs 2021,Skoda,SuperB,1.6 TDI Style,2019,Dizel,Yarı Otomatik,1598,120,9300,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-style/hatasiz-boyasiz-2019-skoda-superb-1-6-tdi-style-f1-dsg-9-000-km/17560978
46,372900,İSTANBUL,BAĞCILAR,15975486,29 Mayıs 2021,Skoda,SuperB,2.0 TDI Prestige,2017,Dizel,Yarı Otomatik,2000,200,92000,"3 değişen, 2 boyalı",Galeriden,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Değişmiş,Değişmiş,Orijinal,Boyanmış,Değişmiş,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-2-0-tdi-prestige/erdemler-den-2017-superb-2-0tdi-190hp-dsg-prestige-cam-tavan-ful/15975486
47,367500,İSTANBUL,BAĞCILAR,17567979,28 Mayıs 2021,Skoda,SuperB,1.6 TDI Elite,2020,Dizel,Yarı Otomatik,1598,120,12300,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-elite/2020-model-superb-1-6tdi-elite-yeni-kesik-direksiyon-cam-tavan/17567979
48,367000,RİZE,ÇAYELİ,17087561,03 Mayıs 2021,Skoda,SuperB,1.5 TSI GreenTec Premium,2020,Benzin,Yarı Otomatik,1600,150,5000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-premium/yuksel-otomotiv-den-2020-skoda-super-b-1-5tsi-premium-dsg-18-kdv/17087561
49,365900,İSTANBUL,SULTANGAZİ,15952795,18 Mayıs 2021,Skoda,SuperB,1.5 TSI GreenTec Elite,2020,Benzin,Yarı Otomatik,1600,150,25000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-5-tsi-greentec-elite/safa-otomotiv-2019-skoda-superb-1-5tsi-elite-cam-tavan-led-xenon/15952795
50,365500,İSTANBUL,KARTAL,16047104,02 Haziran 2021,Skoda,SuperB,1.6 TDI Elite,2020,Dizel,Yarı Otomatik,1598,120,7000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-elite/cam-tavan-7-000-km-de/16047104
51,363500,İSTANBUL,ESENYURT,17524707,19 Mayıs 2021,Skoda,SuperB,2.0 TDI Prestige,2017,Dizel,Yarı Otomatik,2000,200,95000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-2-0-tdi-prestige/2017-superb-2-0-tdi-4x4-prestige-dsg-190-hp-95-km-bayi-18-fatur/17524707
